"시점","월별(1)","발전원별(1)",발전원별(2),발전원별(3),데이터
"2017","12월","타사",집단,소계,4280172
"2017","12월","사업자(종합)",소계,소계,51850670
"2017","12월","사업자(종합)",수력,소계,467508
"2017","12월","사업자(종합)",수력,일반,145967
"2017","12월","사업자(종합)",수력,양수,288810
"2017","12월","사업자(종합)",수력,소수력,32730
"2017","12월","사업자(종합)",기력,소계,22207479
"2017","12월","사업자(종합)",기력,무연탄,248312
"2017","12월","사업자(종합)",기력,유연탄,20954849
"2017","12월","사업자(종합)",기력,중유,1004318
"2017","12월","사업자(종합)",복합화력,소계,11914436
"2017","12월","사업자(종합)",원자력,소계,10437833
"2017","12월","사업자(종합)",신재생,소계,2154548
"2017","12월","사업자(종합)",집단,소계,4621808
"2017","12월","사업자(종합)",내연력,소계,47059
"2017","12월","상용자가",한전구입,소계,51164
"2017","12월","총발전량",사업자+한전구입,소계,51901834
"2018","합계","한전 및 자회사",소계,소계,418327451
"2018","합계","한전 및 자회사",수력,소계,5187234
"2018","합계","한전 및 자회사",수력,일반,1101827
"2018","합계","한전 및 자회사",수력,양수,3911035
"2018","합계","한전 및 자회사",수력,소수력,174372
"2018","합계","한전 및 자회사",기력,소계,228662857
"2018","합계","한전 및 자회사",기력,무연탄,2677040
"2018","합계","한전 및 자회사",기력,유연탄,220140570
"2018","합계","한전 및 자회사",기력,중유,5845247
"2018","합계","한전 및 자회사",복합화력,소계,43133972
"2018","합계","한전 및 자회사",원자력,소계,133505261
"2018","합계","한전 및 자회사",신재생,소계,3663802
"2018","합계","한전 및 자회사",집단,소계,3645872
"2018","합계","한전 및 자회사",내연력,소계,528453
"2018","합계","타사",소계,소계,151520206
"2018","합계","타사",수력,소계,2083219
"2018","합계","타사",수력,일반,1646574
"2018","합계","타사",수력,소수력,436645
"2018","합계","타사",기력,유연탄,8835428
"2018","합계","타사",복합화력,소계,73701635
"2018","합계","타사",신재생,소계,23512872
"2018","합계","타사",집단,소계,43387051
"2018","합계","사업자(종합)",소계,소계,569847656
"2018","합계","사업자(종합)",수력,소계,7270453
"2018","합계","사업자(종합)",수력,일반,2748401
"2018","합계","사업자(종합)",수력,양수,3911035
"2018","합계","사업자(종합)",수력,소수력,611017
"2018","합계","사업자(종합)",기력,소계,237498286
"2018","합계","사업자(종합)",기력,무연탄,2677040
"2018","합계","사업자(종합)",기력,유연탄,228975999
"2018","합계","사업자(종합)",기력,중유,5845247
"2018","합계","사업자(종합)",복합화력,소계,116835607
"2018","합계","사업자(종합)",원자력,소계,133505261
"2018","합계","사업자(종합)",신재생,소계,27176674
"2018","합계","사업자(종합)",집단,소계,47032922
"2018","합계","사업자(종합)",내연력,소계,528453
"2018","합계","상용자가",한전구입,소계,798850
"2018","합계","총발전량",사업자+한전구입,소계,570646507
"2018","1월","한전 및 자회사",소계,소계,38943679
"2018","1월","한전 및 자회사",수력,소계,377928
"2018","1월","한전 및 자회사",수력,일반,60236
"2018","1월","한전 및 자회사",수력,양수,303237
"2018","1월","한전 및 자회사",수력,소수력,14455
"2018","1월","한전 및 자회사",기력,소계,23083099
"2018","1월","한전 및 자회사",기력,무연탄,138529
"2018","1월","한전 및 자회사",기력,유연탄,21702042
"2018","1월","한전 및 자회사",기력,중유,1242528
"2018","1월","한전 및 자회사",복합화력,소계,4837297
