년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월,사용량
201705,전체(시도),전체(시 / 군 / 구),"사업시설관리,사업지원서비스업","83,179 ","101,363,079 ","13,318,363,955 ",131.4 ,2017,05,101363079.0
201705,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업 ,"521,746 ","1,082,260,761 ","123,424,671,890 ",114.0 ,2017,05,1082260761.0
201705,전체(시도),전체(시 / 군 / 구),"예술,스포츠및여가관련서비스업","74,775 ","308,369,241 ","38,238,120,574 ",124.0 ,2017,05,308369241.0
201705,전체(시도),전체(시 / 군 / 구),운수업,"144,311 ","776,365,446 ","78,672,228,805 ",101.3 ,2017,05,776365446.0
201705,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 수도사업 ","67,905 ","984,146,413 ","103,834,672,474 ",105.5 ,2017,05,984146413.0
201705,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업 ","34,604 ","200,727,506 ","22,435,131,049 ",111.8 ,2017,05,200727506.0
201705,전체(시도),전체(시 / 군 / 구),제조업 ,"328,029 ","20,992,358,650 ","1,942,102,788,290 ",92.5 ,2017,05,20992358650.0
201705,전체(시도),전체(시 / 군 / 구),"출판영상,방송통신정보서비스업","184,961 ","575,438,491 ","53,965,312,426 ",93.8 ,2017,05,575438491.0
201705,전체(시도),전체(시 / 군 / 구),하수폐기처리원료재생환경복원,"37,475 ","516,876,925 ","51,860,240,593 ",100.3 ,2017,05,516876925.0
201705,전체(시도),전체(시 / 군 / 구),"협회단체,수리기타개인서비스업","231,817 ","400,044,466 ","51,910,041,762 ",129.8 ,2017,05,400044466.0
201706,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",511 ,"436,052 ","66,790,446 ",153.2 ,2017,06,436052.0
201706,전체(시도),전체(시 / 군 / 구),건설업 ,"72,871 ","233,196,218 ","34,605,993,159 ",148.4 ,2017,06,233196218.0
201706,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","35,137 ","392,011,068 ","54,386,685,177 ",138.7 ,2017,06,392011068.0
201706,전체(시도),전체(시 / 군 / 구),광업 ,"4,308 ","215,439,703 ","27,662,939,103 ",128.4 ,2017,06,215439703.0
